PID    COMM              FD ERR FLAGS    PATH
1707   VBoxClient         8   0 00000000 /run/user/1000/gdm/Xauthority
1609   Xorg              47   0 00000000 /proc/1707/cmdline
8806   opensnoop         24   0 02000000 /etc/localtime
1890   gsd-color         13   0 00000000 /etc/localtime
1890   gsd-color         13   0 00000000 /etc/localtime
1707   VBoxClient         8   0 00000000 /run/user/1000/gdm/Xauthority
1609   Xorg              47   0 00000000 /proc/1707/cmdline
1795   gnome-shell       -1   2 00000000 /proc/2128/root/.flatpak-info
1795   gnome-shell       27   0 00000000 /proc/2128/attr/current
1707   VBoxClient         8   0 00000000 /run/user/1000/gdm/Xauthority
1609   Xorg              47   0 00000000 /proc/1707/cmdline
654    irqbalance         6   0 00000000 /proc/interrupts
654    irqbalance         6   0 00000000 /proc/stat
654    irqbalance         6   0 00000000 /proc/irq/20/smp_affinity
654    irqbalance         6   0 00000000 /proc/irq/0/smp_affinity
654    irqbalance         6   0 00000000 /proc/irq/1/smp_affinity
654    irqbalance         6   0 00000000 /proc/irq/8/smp_affinity
654    irqbalance         6   0 00000000 /proc/irq/12/smp_affinity
654    irqbalance         6   0 00000000 /proc/irq/14/smp_affinity
654    irqbalance         6   0 00000000 /proc/irq/15/smp_affinity
1707   VBoxClient         8   0 00000000 /run/user/1000/gdm/Xauthority
1609   Xorg              47   0 00000000 /proc/1707/cmdline
967    VBoxService        4   0 02000000 /var/run/utmp
647    dbus-daemon       -1   2 02204000 /usr/local/share/dbus-1/system-services
647    dbus-daemon       25   0 02204000 /usr/share/dbus-1/system-services
647    dbus-daemon       -1   2 02204000 /lib/dbus-1/system-services
647    dbus-daemon       25   0 02204000 /var/lib/snapd/dbus-1/system-services/
1707   VBoxClient         8   0 00000000 /run/user/1000/gdm/Xauthority
1609   Xorg              47   0 00000000 /proc/1707/cmdline
1707   VBoxClient         8   0 00000000 /run/user/1000/gdm/Xauthority
1609   Xorg              47   0 00000000 /proc/1707/cmdline
8807   timeout            3   0 02000000 /etc/ld.so.cache
8807   timeout            3   0 02000000 /lib/x86_64-linux-gnu/librt.so.1
8807   timeout            3   0 02000000 /lib/x86_64-linux-gnu/libpthread.so.0
8807   timeout            3   0 02000000 /lib/x86_64-linux-gnu/libc.so.6
8807   timeout            3   0 02000000 /usr/lib/locale/locale-archive
8808   malicious-prog     3   0 02000000 /etc/ld.so.cache
8808   malicious-prog     3   0 02000000 /lib/x86_64-linux-gnu/libstdc++.so.6
8808   malicious-prog     3   0 02000000 /lib/x86_64-linux-gnu/libgcc_s.so.1
8808   malicious-prog     3   0 02000000 /lib/x86_64-linux-gnu/libc.so.6
8808   malicious-prog     3   0 02000000 /lib/x86_64-linux-gnu/libm.so.6
8808   malicious-prog     3   0 02204000 /usr/include/linux
8808   malicious-prog     4   0 02204000 /usr/include/linux/tc_act
8808   malicious-prog     4   0 02204000 /usr/include/linux/netfilter_ipv6
8808   malicious-prog     4   0 02204000 /usr/include/linux/hdlc
8808   malicious-prog     4   0 02204000 /usr/include/linux/cifs
8808   malicious-prog     4   0 02204000 /usr/include/linux/isdn
8808   malicious-prog     4   0 02204000 /usr/include/linux/netfilter
8808   malicious-prog     5   0 02204000 /usr/include/linux/netfilter/ipset
8808   malicious-prog     4   0 02204000 /usr/include/linux/can
8808   malicious-prog     4   0 02204000 /usr/include/linux/spi
8808   malicious-prog     4   0 02204000 /usr/include/linux/sunrpc
8808   malicious-prog     4   0 02204000 /usr/include/linux/dvb
8808   malicious-prog     4   0 02204000 /usr/include/linux/nfsd
8808   malicious-prog     4   0 02204000 /usr/include/linux/hsi
8808   malicious-prog     4   0 02204000 /usr/include/linux/raid
8808   malicious-prog     4   0 02204000 /usr/include/linux/android
8808   malicious-prog     4   0 02204000 /usr/include/linux/netfilter_ipv4
8808   malicious-prog     4   0 02204000 /usr/include/linux/wimax
8808   malicious-prog     4   0 02204000 /usr/include/linux/usb
8808   malicious-prog     4   0 02204000 /usr/include/linux/caif
8808   malicious-prog     4   0 02204000 /usr/include/linux/genwqe
8808   malicious-prog     4   0 02204000 /usr/include/linux/mmc
8808   malicious-prog     4   0 02204000 /usr/include/linux/netfilter_bridge
8808   malicious-prog     4   0 02204000 /usr/include/linux/iio
8808   malicious-prog     4   0 02204000 /usr/include/linux/sched
8808   malicious-prog     4   0 02204000 /usr/include/linux/netfilter_arp
8808   malicious-prog     4   0 02204000 /usr/include/linux/tc_ematch
8808   malicious-prog     4   0 02204000 /usr/include/linux/byteorder
8808   malicious-prog     3   0 00000000 /usr/include/linux/mempolicy.h
8808   malicious-prog     4   0 00001101 ./output/0-mempolicy.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/tc_act/tc_pedit.h
8808   malicious-prog     4   0 00001101 ./output/1-tc_pedit.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/if_pppox.h
8808   malicious-prog     4   0 00001101 ./output/2-if_pppox.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/radeonfb.h
8808   malicious-prog     4   0 00001101 ./output/3-radeonfb.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/vbox_err.h
8808   malicious-prog     4   0 00001101 ./output/4-vbox_err.h
1707   VBoxClient         8   0 00000000 /run/user/1000/gdm/Xauthority
1609   Xorg              47   0 00000000 /proc/1707/cmdline
8808   malicious-prog     3   0 00000000 /usr/include/linux/netfilter/xt_IDLETIMER.h
8808   malicious-prog     4   0 00001101 ./output/5-xt_IDLETIMER.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/screen_info.h
8808   malicious-prog     4   0 00001101 ./output/6-screen_info.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/connector.h
8808   malicious-prog     4   0 00001101 ./output/7-connector.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/icmp.h
8808   malicious-prog     4   0 00001101 ./output/8-icmp.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/timerfd.h
8808   malicious-prog     4   0 00001101 ./output/9-timerfd.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/phonet.h
8808   malicious-prog     4   0 00001101 ./output/10-phonet.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/pg.h
8808   malicious-prog     4   0 00001101 ./output/11-pg.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/netfilter/xt_recent.h
8808   malicious-prog     4   0 00001101 ./output/12-xt_recent.h
1707   VBoxClient         8   0 00000000 /run/user/1000/gdm/Xauthority
1609   Xorg              47   0 00000000 /proc/1707/cmdline
8808   malicious-prog     3   0 00000000 /usr/include/linux/netfilter/nfnetlink_cthelper.h
8808   malicious-prog     4   0 00001101 ./output/13-nfnetlink_cthelper.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/netfilter/xt_comment.h
8808   malicious-prog     4   0 00001101 ./output/14-xt_comment.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/posix_acl.h
8808   malicious-prog     4   0 00001101 ./output/15-posix_acl.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/falloc.h
8808   malicious-prog     4   0 00001101 ./output/16-falloc.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/ipmi_bmc.h
8808   malicious-prog     4   0 00001101 ./output/17-ipmi_bmc.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/xattr.h
8808   malicious-prog     4   0 00001101 ./output/18-xattr.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/fd.h
8808   malicious-prog     4   0 00001101 ./output/19-fd.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/netfilter/xt_comment.h
8808   malicious-prog     4   0 00001101 ./output/20-xt_comment.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/socket.h
8808   malicious-prog     4   0 00001101 ./output/21-socket.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/prctl.h
8808   malicious-prog     4   0 00001101 ./output/22-prctl.h
1707   VBoxClient         8   0 00000000 /run/user/1000/gdm/Xauthority
1609   Xorg              47   0 00000000 /proc/1707/cmdline
