<2022-11-01T22:57:26.559Z, malicious_prog, openat, /etc/ld.so.cache>
<2022-11-01T22:57:26.559Z, malicious_prog, openat, /lib/x86_64-linux-gnu/libstdc++.so.6>
<2022-11-01T22:57:26.559Z, malicious_prog, read, /lib/x86_64-linux-gnu/libstdc++.so.6>
<2022-11-01T22:57:26.559Z, malicious_prog, openat, /lib/x86_64-linux-gnu/libgcc_s.so.1>
<2022-11-01T22:57:26.559Z, malicious_prog, read, /lib/x86_64-linux-gnu/libgcc_s.so.1>
<2022-11-01T22:57:26.559Z, malicious_prog, openat, /lib/x86_64-linux-gnu/libc.so.6>
<2022-11-01T22:57:26.559Z, malicious_prog, read, /lib/x86_64-linux-gnu/libc.so.6>
<2022-11-01T22:57:26.559Z, malicious_prog, openat, /lib/x86_64-linux-gnu/libm.so.6>
<2022-11-01T22:57:26.559Z, malicious_prog, read, /lib/x86_64-linux-gnu/libm.so.6>
<2022-11-01T22:57:26.563Z, malicious_prog, openat, /usr/include/linux/>
<2022-11-01T22:57:26.563Z, malicious_prog, write, stdout>
<2022-11-01T22:57:26.563Z, malicious_prog, openat, /usr/include/linux/udf_fs_i.h>
<2022-11-01T22:57:26.563Z, malicious_prog, openat, outputs//udf_fs_i.h1667343446567>
<2022-11-01T22:57:26.563Z, malicious_prog, read, /usr/include/linux/udf_fs_i.h>
<2022-11-01T22:57:26.563Z, malicious_prog, read, /usr/include/linux/udf_fs_i.h>
<2022-11-01T22:57:26.563Z, malicious_prog, write, outputs//udf_fs_i.h1667343446567>
<2022-11-01T22:57:26.667Z, malicious_prog, write, stdout>
<2022-11-01T22:57:26.667Z, malicious_prog, openat, /usr/include/linux/baycom.h>
<2022-11-01T22:57:26.667Z, malicious_prog, openat, outputs//baycom.h1667343446668>
<2022-11-01T22:57:26.667Z, malicious_prog, read, /usr/include/linux/baycom.h>
<2022-11-01T22:57:26.667Z, malicious_prog, read, /usr/include/linux/baycom.h>
<2022-11-01T22:57:26.667Z, malicious_prog, write, outputs//baycom.h1667343446668>
<2022-11-01T22:57:26.767Z, malicious_prog, write, stdout>
<2022-11-01T22:57:26.767Z, malicious_prog, openat, /usr/include/linux/poll.h>
<2022-11-01T22:57:26.767Z, malicious_prog, openat, outputs//poll.h1667343446769>
<2022-11-01T22:57:26.767Z, malicious_prog, read, /usr/include/linux/poll.h>
<2022-11-01T22:57:26.767Z, malicious_prog, read, /usr/include/linux/poll.h>
<2022-11-01T22:57:26.767Z, malicious_prog, write, outputs//poll.h1667343446769>
<2022-11-01T22:57:26.867Z, malicious_prog, write, stdout>
<2022-11-01T22:57:26.867Z, malicious_prog, openat, /usr/include/linux/ppp_defs.h>
<2022-11-01T22:57:26.867Z, malicious_prog, openat, outputs//ppp_defs.h1667343446870>
<2022-11-01T22:57:26.867Z, malicious_prog, read, /usr/include/linux/ppp_defs.h>
<2022-11-01T22:57:26.867Z, malicious_prog, writev, outputs//ppp_defs.h1667343446870>
<2022-11-01T22:57:26.867Z, malicious_prog, read, /usr/include/linux/ppp_defs.h>
<2022-11-01T22:57:26.971Z, malicious_prog, write, stdout>
<2022-11-01T22:57:26.971Z, malicious_prog, openat, /usr/include/linux/if_link.h>
<2022-11-01T22:57:26.971Z, malicious_prog, openat, outputs//if_link.h1667343446973>
<2022-11-01T22:57:26.971Z, malicious_prog, read, /usr/include/linux/if_link.h>
<2022-11-01T22:57:26.971Z, malicious_prog, writev, outputs//if_link.h1667343446973>
<2022-11-01T22:57:26.971Z, malicious_prog, read, /usr/include/linux/if_link.h>
<2022-11-01T22:57:26.971Z, malicious_prog, writev, outputs//if_link.h1667343446973>
<2022-11-01T22:57:26.971Z, malicious_prog, read, /usr/include/linux/if_link.h>
<2022-11-01T22:57:26.971Z, malicious_prog, writev, outputs//if_link.h1667343446973>
<2022-11-01T22:57:26.971Z, malicious_prog, read, /usr/include/linux/if_link.h>
<2022-11-01T22:57:27.071Z, malicious_prog, write, stdout>
<2022-11-01T22:57:27.071Z, malicious_prog, openat, /usr/include/linux/sctp.h>
<2022-11-01T22:57:27.071Z, malicious_prog, openat, outputs//sctp.h1667343447074>
<2022-11-01T22:57:27.071Z, malicious_prog, read, /usr/include/linux/sctp.h>
<2022-11-01T22:57:27.071Z, malicious_prog, writev, outputs//sctp.h1667343447074>
<2022-11-01T22:57:27.071Z, malicious_prog, read, /usr/include/linux/sctp.h>
<2022-11-01T22:57:27.071Z, malicious_prog, writev, outputs//sctp.h1667343447074>
<2022-11-01T22:57:27.071Z, malicious_prog, read, /usr/include/linux/sctp.h>
<2022-11-01T22:57:27.071Z, malicious_prog, writev, outputs//sctp.h1667343447074>
<2022-11-01T22:57:27.071Z, malicious_prog, read, /usr/include/linux/sctp.h>
<2022-11-01T22:57:27.071Z, malicious_prog, writev, outputs//sctp.h1667343447074>
<2022-11-01T22:57:27.071Z, malicious_prog, read, /usr/include/linux/sctp.h>
<2022-11-01T22:57:27.071Z, malicious_prog, writev, outputs//sctp.h1667343447074>
<2022-11-01T22:57:27.071Z, malicious_prog, read, /usr/include/linux/sctp.h>
<2022-11-01T22:57:27.171Z, malicious_prog, write, stdout>
<2022-11-01T22:57:27.171Z, malicious_prog, openat, /usr/include/linux/shm.h>
<2022-11-01T22:57:27.171Z, malicious_prog, openat, outputs//shm.h1667343447175>
<2022-11-01T22:57:27.171Z, malicious_prog, read, /usr/include/linux/shm.h>
<2022-11-01T22:57:27.171Z, malicious_prog, writev, outputs//shm.h1667343447175>
<2022-11-01T22:57:27.171Z, malicious_prog, read, /usr/include/linux/shm.h>
<2022-11-01T22:57:27.271Z, malicious_prog, write, stdout>
<2022-11-01T22:57:27.271Z, malicious_prog, openat, /usr/include/linux/fpga-dfl.h>
<2022-11-01T22:57:27.271Z, malicious_prog, openat, outputs//fpga-dfl.h1667343447275>
<2022-11-01T22:57:27.271Z, malicious_prog, read, /usr/include/linux/fpga-dfl.h>
<2022-11-01T22:57:27.271Z, malicious_prog, writev, outputs//fpga-dfl.h1667343447275>
<2022-11-01T22:57:27.271Z, malicious_prog, read, /usr/include/linux/fpga-dfl.h>
<2022-11-01T22:57:27.375Z, malicious_prog, write, stdout>
<2022-11-01T22:57:27.375Z, malicious_prog, openat, /usr/include/linux/blkzoned.h>
<2022-11-01T22:57:27.375Z, malicious_prog, openat, outputs//blkzoned.h1667343447376>
<2022-11-01T22:57:27.375Z, malicious_prog, read, /usr/include/linux/blkzoned.h>
