8.8.8.8,"['dns.google', 'CA US']"
,
142.251.12.106,"[""['1E100.NET', '1e100.net']"", 'CA US']"
,
204.79.197.203,"['A-MSEDGE.NET', 'None None']"
,
40.79.150.120,"['None', 'None None']"
,
142.251.12.104,"[""['1E100.NET', '1e100.net']"", 'CA US']"
,
142.251.12.139,"[""['1E100.NET', '1e100.net']"", 'CA US']"
,
142.250.4.99,"['1E100.NET', 'None None']"
,
74.125.130.94,"['1E100.NET', 'None None']"
,
142.250.4.113,"['1E100.NET', 'None None']"
,
74.125.24.94,"['1E100.NET', 'None None']"
,
74.125.24.102,"[""['1E100.NET', '1e100.net']"", 'CA US']"
,
142.250.4.100,"['1E100.NET', 'None None']"
,
74.125.200.94,"['1E100.NET', 'None None']"
,
142.250.4.102,"['1E100.NET', 'None None']"
,
142.251.10.138,"['1E100.NET', 'None None']"
,
4.246.174.31,"['None', 'None None']"
,
142.251.10.139,"[""['1E100.NET', '1e100.net']"", 'CA US']"
,
142.251.12.84,"['1E100.NET', 'None None']"
,
104.69.38.163,"['AKAMAITECHNOLOGIES.COM', 'None None']"
,
13.107.4.50,"['None', 'None None']"
,
74.125.24.138,"[""['1E100.NET', '1e100.net']"", 'CA US']"
,
34.160.122.198,"[""['GOOGLEUSERCONTENT.COM', 'googleusercontent.com']"", 'CA US']"
,
74.6.143.25,"[""['YAHOO.COM', 'yahoo.com']"", 'VA US']"
,
204.79.197.219,"['None', 'None None']"
,
202.165.107.50,"[""['YAHOO.COM', 'yahoo.com']"", 'VA US']"
,
119.161.10.12,"[""['YAHOO.COM', 'yahoo.com']"", 'VA US']"
,
106.10.248.157,"[""['YAHOO.COM', 'yahoo.com']"", 'VA US']"
,
202.165.107.57,"[""['YAHOO.COM', 'yahoo.com']"", 'VA US']"
,
106.10.236.40,"[""['YAHOO.COM', 'yahoo.com']"", 'VA US']"
,
106.10.236.141,"[""['YAHOO.COM', 'yahoo.com']"", 'VA US']"
,
172.67.7.19,"['None', 'None None']"
,
104.22.36.221,"['None', 'None None']"
,
104.26.9.198,"['None', 'None None']"
,
