58.218.205.102,"['TCP', 'SSH', 248]"
80.172.244.226,"['TCP', 'SSH', 17]"
91.189.89.198,"['UDP', 'Network Time Protocol', 1311]"
182.106.129.1,"['TCP', 'SSH', 14]"
88.149.222.243,"['TCP', 'SSH', 18]"
40.71.185.73,"['TCP', 'SSH', 272]"
137.74.6.100,"['ICMP', 'Destination Unreachable', 1]"
59.45.175.11,"['TCP', 'SSH', 1215]"
175.44.133.50,"['TCP', 'SSH', 60]"
221.194.47.242,"['TCP', 'SSH', 2066]"
59.45.175.95,"['TCP', 'SSH', 1003]"
172.31.0.2,"['UDP', '', 550]"
162.213.33.233,"['TCP', 'HTTPS', 343]"
139.219.226.144,"['TCP', 'SSH', 11]"
95.110.234.160,"['TCP', 'SSH', 104]"
183.109.154.5,"['TCP', 'SSH', 39]"
68.83.223.19,"['TCP', 'SSH', 18]"
104.193.253.47,"['TCP', 'SSH', 42]"
89.234.157.254,"['TCP', 'SSH', 82]"
216.218.222.12,"['TCP', 'SSH', 32]"
62.102.148.67,"['TCP', 'SSH', 16]"
58.19.115.136,"['TCP', 'SSH', 17]"
60.247.77.252,"['TCP', 'SSH', 18]"
58.181.51.189,"['TCP', 'SSH', 17]"
221.194.47.236,"['TCP', 'SSH', 2502]"
69.174.137.214,"['TCP', 'SSH', 14]"
180.169.222.146,"['TCP', 'SSH', 1]"
121.18.238.106,"['TCP', 'SSH', 2599]"
124.224.241.113,"['TCP', 'SSH', 17]"
59.45.175.24,"['TCP', 'SSH', 818]"
59.45.175.67,"['TCP', 'SSH', 1428]"
198.98.61.180,"['TCP', 'SSH', 4984]"
218.87.109.155,"['TCP', 'SSH', 42]"
221.194.44.212,"['TCP', 'SSH', 1985]"
116.22.6.222,"['TCP', 'SSH', 30]"
54.169.144.212,"['TCP', 'HTTP', 8165]"
91.189.88.161,"['TCP', 'HTTP', 2685]"
201.178.17.165,"['TCP', 'SSH', 1]"
185.94.111.1,"['ICMP', 'Echo Request', 1]"
61.0.175.225,"['TCP', 'SSH', 98]"
27.195.19.161,"['TCP', 'SSH', 1]"
110.174.196.205,"['TCP', 'SSH', 20]"
51.15.192.4,"['TCP', 'SSH', 9]"
181.174.110.26,"['TCP', 'SSH', 17]"
108.24.199.50,"['TCP', 'SSH', 17]"
185.165.29.82,"['TCP', 'SSH', 13]"
221.194.47.233,"['TCP', 'SSH', 1911]"
141.105.69.248,"['TCP', 'SSH', 30]"
190.194.51.117,"['TCP', 'SSH', 17]"
81.47.169.253,"['TCP', 'SSH', 17]"
221.194.47.224,"['TCP', 'SSH', 1516]"
117.247.83.56,"['TCP', 'SSH', 11]"
223.203.224.94,"['TCP', 'SSH', 20]"
191.96.249.156,"['TCP', 'SSH', 40]"
23.92.31.220,"['ICMP', 'Echo Request', 1]"
59.45.175.97,"['TCP', 'SSH', 1058]"
141.212.122.163,"['TCP', 'Modbus TCP', 2]"
141.212.122.162,"['TCP', 'Niagara Fox', 2]"
141.212.122.160,"['TCP', 'Niagara Fox', 4]"
94.41.0.140,"['TCP', 'SSH', 5]"
121.18.238.123,"['TCP', 'SSH', 2324]"
134.17.25.196,"['ICMP', 'Echo Request', 1]"
95.215.62.242,"['TCP', 'SSH', 29]"
122.249.98.242,"['TCP', 'SSH', 18]"
121.18.238.119,"['TCP', 'SSH', 2569]"
80.14.64.152,"['TCP', 'SSH', 12]"
164.52.0.140,"['TCP', 'SSH', 105]"
89.248.167.131,"['TCP', 'Ethernet IP', 7]"
62.176.5.247,"['TCP', 'SSH', 18]"
203.109.110.180,"['TCP', 'SSH', 17]"
190.110.86.166,"['TCP', 'SSH', 2]"
90.63.147.192,"['TCP', 'SSH', 18]"
187.190.237.115,"['TCP', 'SSH', 52]"
103.1.93.23,"['TCP', 'SSH', 19]"
133.242.225.12,"['TCP', 'SSH', 35]"
218.1.39.110,"['TCP', 'SSH', 18]"
199.241.132.195,"['TCP', 'SSH', 13]"
51.15.212.189,"['TCP', 'SSH', 9]"
175.197.170.3,"['TCP', 'SSH', 17]"
121.18.238.28,"['TCP', 'SSH', 2197]"
209.239.126.79,"['TCP', 'SSH', 18]"
139.59.33.127,"['TCP', 'SSH', 12]"
165.227.164.225,"['TCP', 'SSH', 30]"
117.143.216.214,"['TCP', 'SSH', 56]"
153.120.25.51,"['TCP', 'SSH', 11]"
94.182.227.101,"['TCP', 'SSH', 17]"
125.227.96.79,"['TCP', 'SSH', 51]"
217.91.125.99,"['TCP', 'SSH', 24]"
201.251.77.70,"['TCP', 'SSH', 10]"
202.100.182.250,"['TCP', 'SSH', 19]"
178.162.221.115,"['TCP', 'SSH', 2]"
123.151.24.40,"['TCP', 'Ethernet IP', 13]"
64.187.217.234,"['TCP', 'SSH', 23]"
208.184.100.106,"['TCP', 'SSH', 51]"
5.188.10.179,"['TCP', 'SSH', 917]"
178.63.97.78,"['TCP', 'SSH', 17]"
14.41.117.241,"['TCP', 'SSH', 3]"
209.92.176.113,"['TCP', 'Ethernet IP', 230]"
139.219.96.44,"['TCP', 'SSH', 6]"
46.166.138.173,"['TCP', 'Ethernet IP', 23]"
189.207.78.160,"['TCP', 'SSH', 17]"
58.56.174.106,"['TCP', 'SSH', 17]"
122.114.29.125,"['TCP', 'SSH', 2]"
123.16.30.181,"['TCP', 'SSH', 73]"
5.45.74.39,"['TCP', 'SSH', 5]"
5.39.69.29,"['ICMP', 'Destination Unreachable', 1]"
217.144.174.69,"['TCP', 'SSH', 17]"
148.216.99.108,"['TCP', 'SSH', 18]"
192.163.250.146,"['TCP', 'SSH', 21]"
190.50.142.194,"['TCP', 'Ethernet IP', 1]"
175.125.132.210,"['TCP', 'SSH', 409]"
209.92.176.34,"['TCP', 'SSH', 278]"
173.242.120.120,"['ICMP', 'Destination Unreachable', 1]"
64.62.250.41,"['TCP', 'SSH', 18]"
93.174.89.85,"['TCP', 'SSH', 9]"
198.211.121.75,"['TCP', 'SSH', 2]"
180.156.151.223,"['TCP', 'SSH', 93]"
59.63.188.2,"['TCP', 'SSH', 52]"
45.55.216.145,"['TCP', 'SSH', 82]"
117.211.159.74,"['TCP', 'SSH', 52]"
41.59.225.157,"['TCP', 'SSH', 91]"
193.164.131.95,"['TCP', 'SSH', 14]"
155.133.82.12,"['TCP', 'SSH', 15]"
185.129.62.63,"['TCP', 'SSH', 14]"
192.42.116.16,"['TCP', 'SSH', 21]"
115.28.49.232,"['TCP', 'SSH', 18]"
195.154.215.227,"['TCP', 'SSH', 18]"
94.156.211.207,"['TCP', 'SSH', 19]"
208.116.239.37,"['TCP', 'SSH', 17]"
117.48.125.148,"['TCP', 'SSH', 52]"
13.68.244.148,"['TCP', 'SSH', 32]"
178.236.243.74,"['TCP', 'SSH', 1]"
139.162.118.185,"['TCP', 'SSH', 16]"
146.0.77.183,"['TCP', 'SSH', 1]"
123.249.42.81,"['TCP', 'Ethernet IP', 2]"
111.11.181.52,"['TCP', 'SSH', 18]"
13.81.222.72,"['TCP', 'SSH', 10]"
96.44.145.11,"['TCP', 'SSH', 18]"
80.211.140.184,"['TCP', 'SSH', 2]"
121.194.2.251,"['TCP', 'SSH', 33]"
109.205.136.10,"['TCP', 'SSH', 18]"
118.97.55.250,"['TCP', 'SSH', 9]"
91.189.95.15,"['TCP', 'HTTP', 150]"
46.234.125.89,"['ICMP', 'Echo Request', 1]"
58.57.65.111,"['TCP', 'SSH', 30]"
83.147.123.176,"['TCP', 'SSH', 17]"
89.218.39.85,"['TCP', 'SSH', 87]"
139.162.124.90,"['TCP', 'BACnet', 28]"
139.162.117.40,"['TCP', 'BACnet', 397]"
218.109.238.45,"['TCP', 'SSH', 25]"
66.35.51.195,"['TCP', 'SSH', 31]"
