level,parent,Topic / Item,Count,Average,Min Val,Max Val,Rate (ms),Percent,Burst Rate,Burst Start
1,/Source IPv4 Addresses,172.31.20.47,330274,,,,0.0001,43.71%,16.58,1784686.625
1,/Source IPv4 Addresses,198.98.53.156,59421,,,,0,7.86%,0.04,211572.242
1,/Source IPv4 Addresses,54.169.144.212,29589,,,,0,3.92%,30.94,1784686.4
1,/Source IPv4 Addresses,50.23.83.142,22928,,,,0,3.03%,0.02,721009.328
1,/Source IPv4 Addresses,94.237.28.203,11529,,,,0,1.53%,0.05,365843.925
1,/Source IPv4 Addresses,54.179.137.100,11390,,,,0,1.51%,37.44,1124744.91
1,/Source IPv4 Addresses,203.86.8.44,10041,,,,0,1.33%,0.04,377235.184
1,/Source IPv4 Addresses,199.195.248.31,9552,,,,0,1.26%,0.03,31612.489
1,/Source IPv4 Addresses,54.169.117.133,9068,,,,0,1.20%,24.04,2456804.685
1,/Source IPv4 Addresses,54.179.187.123,8798,,,,0,1.16%,14.28,1124734.837
1,/Source IPv4 Addresses,202.4.107.94,8580,,,,0,1.14%,0.05,2388052.783
1,/Source IPv4 Addresses,128.226.43.50,8013,,,,0,1.06%,0.02,1637837.007
1,/Source IPv4 Addresses,61.91.3.180,6457,,,,0,0.85%,0.05,1448024.028
1,/Source IPv4 Addresses,213.39.59.87,5862,,,,0,0.78%,0.02,1431579.231
1,/Source IPv4 Addresses,89.218.176.232,5402,,,,0,0.71%,0.03,61322.467
1,/Source IPv4 Addresses,195.178.106.165,4231,,,,0,0.56%,0.03,138676.663
1,/Source IPv4 Addresses,35.154.125.170,3929,,,,0,0.52%,0.04,2560641.796
1,/Source IPv4 Addresses,103.224.80.24,3812,,,,0,0.50%,0.02,566547.247
1,/Source IPv4 Addresses,198.98.61.180,3580,,,,0,0.47%,0.03,1581489.369
1,/Source IPv4 Addresses,45.59.215.94,3259,,,,0,0.43%,0.02,2267187.21
1,/Source IPv4 Addresses,5.188.10.156,3175,,,,0,0.42%,0.03,4075.074
1,/Source IPv4 Addresses,121.18.238.106,2786,,,,0,0.37%,0.03,2129.569
1,/Source IPv4 Addresses,139.219.70.7,2638,,,,0,0.35%,0.02,381526.917
1,/Source IPv4 Addresses,221.194.47.233,2618,,,,0,0.35%,0.03,53729.062
1,/Source IPv4 Addresses,222.85.181.15,2562,,,,0,0.34%,0.03,1194365.194
1,/Source IPv4 Addresses,195.9.95.134,2509,,,,0,0.33%,0.02,1039146.339
1,/Source IPv4 Addresses,121.18.238.125,2481,,,,0,0.33%,0.03,187626.829
1,/Source IPv4 Addresses,78.46.247.60,2422,,,,0,0.32%,0.03,185976.7
1,/Source IPv4 Addresses,221.194.47.236,2387,,,,0,0.32%,0.03,360105.831
1,/Source IPv4 Addresses,61.234.140.229,2367,,,,0,0.31%,0.04,722143.944
1,/Source IPv4 Addresses,121.18.238.119,2341,,,,0,0.31%,0.03,166960.323
1,/Source IPv4 Addresses,185.58.207.26,2334,,,,0,0.31%,0.02,1205255.353
1,/Source IPv4 Addresses,221.194.47.242,2308,,,,0,0.31%,0.04,1862562.859
1,/Source IPv4 Addresses,13.82.174.176,2292,,,,0,0.30%,0.02,1238773.177
1,/Source IPv4 Addresses,123.244.9.80,2289,,,,0,0.30%,0.03,285142.537
1,/Source IPv4 Addresses,111.93.246.114,2283,,,,0,0.30%,0.04,2217108.935
1,/Source IPv4 Addresses,115.159.0.219,2256,,,,0,0.30%,0.03,539012.709
1,/Source IPv4 Addresses,221.194.47.221,2194,,,,0,0.29%,0.03,171272.892
1,/Source IPv4 Addresses,221.194.44.212,2188,,,,0,0.29%,0.03,15987.06
1,/Source IPv4 Addresses,121.18.238.28,2182,,,,0,0.29%,0.03,30256.566
1,/Source IPv4 Addresses,123.244.9.75,2115,,,,0,0.28%,0.03,266358.213
1,/Source IPv4 Addresses,91.189.91.26,2066,,,,0,0.27%,1.45,2343336.575
1,/Source IPv4 Addresses,203.129.224.86,2038,,,,0,0.27%,0.04,1429514.66
1,/Source IPv4 Addresses,123.244.9.73,2016,,,,0,0.27%,0.03,281864.447
1,/Source IPv4 Addresses,181.214.87.4,1974,,,,0,0.26%,0.03,740898.643
1,/Source IPv4 Addresses,121.18.238.123,1963,,,,0,0.26%,0.03,194634.62
1,/Source IPv4 Addresses,123.244.9.76,1961,,,,0,0.26%,0.03,255945.248
1,/Source IPv4 Addresses,13.93.161.130,1898,,,,0,0.25%,0.02,2029276.305
1,/Source IPv4 Addresses,123.244.9.79,1874,,,,0,0.25%,0.03,255096.514
1,/Source IPv4 Addresses,123.244.9.74,1868,,,,0,0.25%,0.03,270835.916
1,/Source IPv4 Addresses,203.206.111.79,1866,,,,0,0.25%,0.08,2423554.982
1,/Source IPv4 Addresses,164.132.206.167,1865,,,,0,0.25%,0.02,2252356.73
1,/Source IPv4 Addresses,123.244.9.77,1819,,,,0,0.24%,0.03,363169.689
1,/Source IPv4 Addresses,138.94.58.133,1807,,,,0,0.24%,0.02,239909.456
1,/Source IPv4 Addresses,123.244.9.78,1777,,,,0,0.24%,0.03,509483.937
1,/Source IPv4 Addresses,91.189.91.23,1694,,,,0,0.22%,1.31,1868916.878
1,/Source IPv4 Addresses,172.31.16.1,1647,,,,0,0.22%,0.01,833.309
