Level,Date and Time,Source,Event ID,Task Category
Information,3/27/2016 11:09:51 PM,Microsoft-Windows-Security-Auditing,4616,Security State Change,"The system time was changed.

Subject:
	Security ID:		SYSTEM
	Account Name:		WIN-8NQK06IH20A$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

Process Information:
	Process ID:	0x538
	Name:		C:\Program Files\VMware\VMware Tools\vmtoolsd.exe

Previous Time:		‎2016‎-‎03‎-‎27T03:38:49.282195700Z
New Time:		‎2016‎-‎03‎-‎27T15:09:51.339000000Z

This event is generated when the system time is changed. It is normal for the Windows Time Service, which runs with System privilege, to change the system time on a regular basis. Other system time changes may be indicative of attempts to tamper with the computer."
Information,3/27/2016 11:37:50 AM,Microsoft-Windows-Security-Auditing,4797,User Account Management,"An attempt was made to query the existence of a blank password for an account.

Subject:
	Security ID:		S-1-5-21-4115010050-4293081376-766057376-1002
	Account Name:		Admin
	Account Domain:		WIN-8NQK06IH20A
	Logon ID:		0x1F31F0

Additional Information:
	Caller Workstation:	WIN-8NQK06IH20A
	Target Account Name:	Mark
	Target Account Domain:	WIN-8NQK06IH20A"
Information,3/27/2016 11:37:50 AM,Microsoft-Windows-Security-Auditing,4797,User Account Management,"An attempt was made to query the existence of a blank password for an account.

Subject:
	Security ID:		S-1-5-21-4115010050-4293081376-766057376-1002
	Account Name:		Admin
	Account Domain:		WIN-8NQK06IH20A
	Logon ID:		0x1F31F0

Additional Information:
	Caller Workstation:	WIN-8NQK06IH20A
	Target Account Name:	Guest
	Target Account Domain:	WIN-8NQK06IH20A"
Information,3/27/2016 11:37:50 AM,Microsoft-Windows-Security-Auditing,4797,User Account Management,"An attempt was made to query the existence of a blank password for an account.

Subject:
	Security ID:		S-1-5-21-4115010050-4293081376-766057376-1002
	Account Name:		Admin
	Account Domain:		WIN-8NQK06IH20A
	Logon ID:		0x1F31F0

Additional Information:
	Caller Workstation:	WIN-8NQK06IH20A
	Target Account Name:	Administrator
	Target Account Domain:	WIN-8NQK06IH20A"
Information,3/27/2016 11:37:30 AM,Microsoft-Windows-Security-Auditing,4672,Special Logon,"Special privileges assigned to new logon.

Subject:
	Security ID:		SYSTEM
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E7

Privileges:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege"
Information,3/27/2016 11:37:30 AM,Microsoft-Windows-Security-Auditing,4624,Logon,"An account was successfully logged on.

Subject:
	Security ID:		SYSTEM
	Account Name:		WIN-8NQK06IH20A$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

Logon Type:			5

Impersonation Level:		Impersonation

New Logon:
	Security ID:		SYSTEM
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E7
	Logon GUID:		{00000000-0000-0000-0000-000000000000}

Process Information:
	Process ID:		0x230
	Process Name:		C:\Windows\System32\services.exe

Network Information:
	Workstation Name:	
	Source Network Address:	-
	Source Port:		-

Detailed Authentication Information:
	Logon Process:		Advapi  
	Authentication Package:	Negotiate
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested."
Information,3/27/2016 11:37:11 AM,Microsoft-Windows-Security-Auditing,4616,Security State Change,"The system time was changed.

Subject:
	Security ID:		SYSTEM
	Account Name:		WIN-8NQK06IH20A$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

Process Information:
	Process ID:	0x538
	Name:		C:\Program Files\VMware\VMware Tools\vmtoolsd.exe

Previous Time:		‎2016‎-‎03‎-‎27T03:29:01.556188200Z
New Time:		‎2016‎-‎03‎-‎27T03:37:11.555000000Z

This event is generated when the system time is changed. It is normal for the Windows Time Service, which runs with System privilege, to change the system time on a regular basis. Other system time changes may be indicative of attempts to tamper with the computer."
Information,3/27/2016 11:27:45 AM,Microsoft-Windows-Security-Auditing,4797,User Account Management,"An attempt was made to query the existence of a blank password for an account.

Subject:
	Security ID:		S-1-5-21-4115010050-4293081376-766057376-1002
	Account Name:		Admin
	Account Domain:		WIN-8NQK06IH20A
	Logon ID:		0x1F31F0

Additional Information:
	Caller Workstation:	WIN-8NQK06IH20A
	Target Account Name:	Mark
	Target Account Domain:	WIN-8NQK06IH20A"
Information,3/27/2016 11:27:45 AM,Microsoft-Windows-Security-Auditing,4797,User Account Management,"An attempt was made to query the existence of a blank password for an account.

Subject:
	Security ID:		S-1-5-21-4115010050-4293081376-766057376-1002
	Account Name:		Admin
	Account Domain:		WIN-8NQK06IH20A
	Logon ID:		0x1F31F0

Additional Information:
	Caller Workstation:	WIN-8NQK06IH20A
	Target Account Name:	Guest
	Target Account Domain:	WIN-8NQK06IH20A"
Information,3/27/2016 11:27:45 AM,Microsoft-Windows-Security-Auditing,4797,User Account Management,"An attempt was made to query the existence of a blank password for an account.

Subject:
	Security ID:		S-1-5-21-4115010050-4293081376-766057376-1002
	Account Name:		Admin
	Account Domain:		WIN-8NQK06IH20A
	Logon ID:		0x1F31F0

Additional Information:
	Caller Workstation:	WIN-8NQK06IH20A
	Target Account Name:	Administrator
	Target Account Domain:	WIN-8NQK06IH20A"
